Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value
BANK NIFTY,25-01-2001,1121.02,1121.02,1121.02,1121.02
CNX ENERGY,25-01-2001,1169.8,1169.8,1169.8,1169.8
CNX FMCG,25-01-2001,2775.64,2775.64,2775.64,2775.64
CNX IT,25-01-2001,0,0,0,34138.8
CNX MNC,25-01-2001,1405.54,1405.54,1405.54,1405.54
CNX NIFTY JUNIOR,25-01-2001,2441.3,2456.55,2400.45,2435.25
CNX PHARMA,25-01-2001,966.45,966.45,966.45,966.45
CNX PSE,25-01-2001,466.1,466.1,466.1,466.1
CNX SERVICE,25-01-2001,2002.88,2002.88,2002.88,2002.88
S&P CNX 500,25-01-2001,984.85,988.25,972.4,985.55
S&P CNX NIFTY,25-01-2001,1366.05,1374.2,1353.5,1370.1
